Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|allied|, |1|, |0|, |1|, |0|, |2|
|impenetrable|, |1|, |0|, |0|, |0|, |1|
|"Italy?"|, |0|, |0|, |1|, |1|, |2|
|reflected|, |0|, |1|, |0|, |1|, |2|
|acted|, |1|, |0|, |1|, |0|, |2|
|lose|, |0|, |1|, |0|, |1|, |2|
|uncomfortable.|, |0|, |0|, |0|, |1|, |1|
|questioned|, |1|, |1|, |1|, |1|, |4|
|acharnee_|, |1|, |0|, |0|, |0|, |1|
|drive|, |1|, |1|, |0|, |0|, |2|
|"Yes;|, |0|, |0|, |1|, |1|, |2|
|specimen|, |1|, |1|, |1|, |1|, |4|
|guide-books|, |1|, |0|, |1|, |0|, |2|
|Rome|, |1|, |0|, |0|, |0|, |1|
|lands?"|, |0|, |0|, |0|, |1|, |1|
|section|, |1|, |0|, |1|, |0|, |2|
|guidebooks|, |0|, |1|, |0|, |0|, |1|
|ironical|, |0|, |1|, |0|, |1|, |2|
|bow--on|, |0|, |0|, |1|, |0|, |1|
|composed|, |1|, |1|, |0|, |0|, |2|
|eastward|, |3|, |2|, |3|, |2|, |10|
|desist.|, |0|, |0|, |1|, |1|, |2|
|existence_!|, |0|, |0|, |1|, |0|, |1|
|I--and|, |0|, |0|, |1|, |0|, |1|
|avoid|, |1|, |0|, |1|, |0|, |2|
|wretchedly|, |1|, |0|, |1|, |0|, |2|
|"Ah,|, |0|, |0|, |0|, |4|, |4|
|moreover|, |2|, |0|, |2|, |0|, |4|
|small|, |26|, |18|, |26|, |18|, |88|
|extreme|, |2|, |3|, |1|, |2|, |8|
|solitary|, |1|, |0|, |1|, |0|, |2|
|think"--her|, |0|, |0|, |1|, |0|, |1|
|early,|, |0|, |0|, |1|, |0|, |1|
|bringing|, |1|, |0|, |1|, |0|, |2|
|quiet|, |2|, |2|, |2|, |1|, |7|
|No|, |4|, |5|, |1|, |1|, |11|
|afraid|, |5|, |6|, |4|, |6|, |21|
|clearest|, |1|, |0|, |1|, |0|, |2|
|pay|, |1|, |2|, |1|, |2|, |6|
|talking|, |2|, |3|, |2|, |3|, |10|
|donnees|, |1|, |0|, |0|, |0|, |1|
|HIM|, |1|, |0|, |0|, |0|, |1|
|Francis|, |2|, |1|, |2|, |1|, |6|
|family,|, |0|, |0|, |1|, |0|, |1|
|extent|, |1|, |0|, |1|, |0|, |2|
|streets|, |1|, |1|, |1|, |1|, |4|
|immensely,"|, |0|, |0|, |1|, |0|, |1|
|parlor;|, |0|, |0|, |0|, |1|, |1|
|ladies|, |6|, |5|, |4|, |4|, |19|
|dimpled|, |0|, |1|, |0|, |1|, |2|
|herself|, |6|, |6|, |4|, |4|, |20|
|_cafés-concerts_,|, |0|, |0|, |0|, |1|, |1|
|"Baptist|, |0|, |0|, |0|, |1|, |1|
|Look|, |1|, |0|, |0|, |0|, |1|
|disappointed!"|, |0|, |0|, |1|, |1|, |2|
|gone|, |7|, |8|, |7|, |8|, |30|
|to--but|, |0|, |0|, |1|, |0|, |1|
|heard|, |2|, |2|, |2|, |2|, |8|
|chairs.|, |0|, |0|, |1|, |1|, |2|
|chin|, |1|, |1|, |0|, |0|, |2|
|seven.|, |0|, |0|, |1|, |0|, |1|
|coiffure.|, |0|, |0|, |0|, |1|, |1|
|sleeper|, |1|, |1|, |1|, |1|, |4|
|throwing|, |1|, |1|, |1|, |1|, |4|
|begun|, |1|, |1|, |1|, |1|, |4|
|increase|, |2|, |1|, |2|, |1|, |6|
|women|, |2|, |2|, |1|, |1|, |6|
|pin|, |1|, |1|, |1|, |1|, |4|
|water|, |2|, |1|, |1|, |0|, |4|
|hens.|, |0|, |0|, |1|, |1|, |2|
|here?"|, |0|, |0|, |1|, |2|, |3|
|badinage,--|, |0|, |0|, |0|, |1|, |1|
|to"|, |0|, |0|, |1|, |1|, |2|
|letter."|, |0|, |0|, |1|, |1|, |2|
|doing?|, |0|, |0|, |1|, |1|, |2|
|ante-chamber|, |1|, |0|, |1|, |0|, |2|
|washing|, |1|, |0|, |1|, |0|, |2|
|bit|, |3|, |3|, |1|, |2|, |9|
|greatest|, |1|, |0|, |1|, |0|, |2|
|hour|, |9|, |9|, |5|, |4|, |27|
|worries|, |1|, |0|, |0|, |0|, |1|
|business;|, |0|, |0|, |1|, |0|, |1|
|equipped|, |1|, |1|, |1|, |1|, |4|
|penetrate|, |1|, |0|, |0|, |0|, |1|
|devergondee_!"|, |0|, |0|, |1|, |0|, |1|
|"That|, |0|, |0|, |1|, |2|, |3|
|"Yes,|, |0|, |0|, |5|, |5|, |10|
|misery!--_Chere|, |0|, |0|, |0|, |1|, |1|
|thrust|, |1|, |0|, |1|, |0|, |2|
|stature|, |1|, |1|, |1|, |0|, |3|
|course.|, |0|, |0|, |1|, |0|, |1|
|breakfast."|, |0|, |0|, |1|, |1|, |2|
|snowy|, |1|, |1|, |1|, |1|, |4|
|start."|, |0|, |0|, |1|, |0|, |1|
|_me|, |1|, |0|, |1|, |0|, |2|
|fait_.|, |0|, |0|, |1|, |1|, |2|
|shutter,|, |0|, |0|, |1|, |0|, |1|
|mon|, |1|, |0|, |1|, |0|, |2|
|must|, |17|, |12|, |15|, |12|, |56|
|arm|, |3|, |4|, |3|, |3|, |13|
|doublet|, |1|, |1|, |1|, |1|, |4|
|fluttered,|, |0|, |0|, |1|, |1|, |2|
|door;|, |0|, |0|, |3|, |3|, |6|
|course|, |7|, |4|, |5|, |3|, |19|
|disappointed|, |2|, |2|, |0|, |0|, |4|
|infallibly|, |1|, |0|, |1|, |0|, |2|
|anguish|, |1|, |0|, |1|, |0|, |2|
|chose.|, |0|, |0|, |1|, |0|, |1|
|expensive|, |1|, |0|, |0|, |0|, |1|
|288|, |1|, |0|, |0|, |0|, |1|
|misery|, |1|, |1|, |0|, |0|, |2|
|possible.|, |0|, |0|, |0|, |1|, |1|
|enjoined|, |1|, |0|, |0|, |0|, |1|
|getting|, |2|, |2|, |2|, |1|, |7|
|birth|, |1|, |1|, |0|, |0|, |2|
|Isn't|, |0|, |0|, |1|, |0|, |1|
